"Period","sales","suvs","insurance"
"2014/03/02","90488","78","66"
"2014/04/06","87959","75","63"
"2014/05/04","93239","71","59"
"2014/06/01","86715","72","61"
"2014/07/06","91275","73","63"
"2014/08/03","92624","74","65"
"2014/09/07","83365","72","59"
"2014/10/05","84334","67","59"
"2014/11/02","78968","65","57"
"2014/12/07","86548","62","57"
"2015/01/04","78427","68","58"
"2015/02/01","79512","71","65"
"2015/03/01","96419","67","62"
"2015/04/05","93672","63","60"
"2015/05/03","97424","60","56"
"2015/06/07","94600","63","58"
"2015/07/05","97756","68","62"
"2015/08/02","97898","69","63"
"2015/09/06","90772","59","57"
"2015/10/04","90400","60","55"
"2015/11/01","84094","61","55"
"2015/12/06","93138","57","54"
"2016/01/03","80120","82","74"
"2016/02/07","89355","87","82"
"2016/03/06","100322","81","81"
"2016/04/03","96946","79","79"
"2016/05/01","98231","87","80"
"2016/06/05","97919","81","79"
"2016/07/03","99271","80","82"
"2016/08/07","103720","89","87"
"2016/09/04","95242","82","84"
"2016/10/02","92607","85","81"
"2016/11/06","90001","74","70"
"2016/12/04","100685","81","83"
"2017/01/01","85031","86","82"
"2017/02/05","89433","84","83"
"2017/03/05","106567","90","85"
"2017/04/02","97870","88","83"
"2017/05/07","106370","87","81"
"2017/06/04","103515","90","85"
"2017/07/02","103086","85","88"
"2017/08/06","105659","97","96"
"2017/09/03","100783","93","84"
"2017/10/01","98212","90","85"
"2017/11/05","95602","85","85"
"2017/12/03","101175","81","84"
"2018/01/07","89275","87","86"
"2018/02/04","90947","82","87"
"2018/03/04","111507","85","92"
"2018/04/01","101222","88","90"
"2018/05/06","111276","81","86"
"2018/06/03","106981","88","88"
"2018/07/01","105882","79","88"
"2018/08/05","110582","87","95"
"2018/09/02","98107","78","85"
"2018/10/07","101302","79","81"
"2018/11/04","97617","77","82"
"2018/12/02","103701","78","86"
"2019/01/06","89980","85","83"
"2019/02/03","92043","82","88"
